BIO00009;http://www.wikidata.org/entity/q2113084;FALSE
BIO00030;http://www.wikidata.org/entity/q978755;TRUE
BIO00236;http://www.wikidata.org/entity/q2038905;FALSE
BIO00255;http://www.wikidata.org/entity/q1190312;TRUE
BIO00412;http://www.wikidata.org/entity/q1818429;FALSE
BIO00530;http://www.wikidata.org/entity/q18850;TRUE
BIO00577;http://www.wikidata.org/entity/q2160647;FALSE
BIO00752;http://www.wikidata.org/entity/q2165030;FALSE
BIO00829;http://www.wikidata.org/entity/q310970;TRUE
BIO00894;http://www.wikidata.org/entity/q1821197;TRUE
BIO00925;http://www.wikidata.org/entity/q2044114;FALSE
BIO01110;http://www.wikidata.org/entity/q1827610;FALSE
BIO01208;http://www.wikidata.org/entity/q26470;TRUE
BIO01320;http://www.wikidata.org/entity/q2077080;FALSE
BIO01428;http://www.wikidata.org/entity/q1828223;FALSE
BIO01553;http://www.wikidata.org/entity/q2122265;FALSE
BIO01681;http://www.wikidata.org/entity/q998380;TRUE
BIO01694;http://www.wikidata.org/entity/q2071790;FALSE
BIO01861;http://www.wikidata.org/entity/q2154384;FALSE
BIO01967;http://www.wikidata.org/entity/q704074;TRUE
BIO02045;http://www.wikidata.org/entity/q1817753;FALSE
BIO02132;http://www.wikidata.org/entity/q1311167;TRUE
BIO02230;http://www.wikidata.org/entity/q1828711;FALSE
BIO02383;http://www.wikidata.org/entity/q2175962;FALSE
BIO02503;http://www.wikidata.org/entity/q2087848;FALSE
BIO06453;http://www.wikidata.org/entity/q632559;TRUE
BIO11246;http://www.wikidata.org/entity/q1784208;TRUE
BIO13864;http://www.wikidata.org/entity/q2167819;TRUE
BIO15511;http://www.wikidata.org/entity/q1345020;TRUE